,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
age,0.2853036317784864,-0.41905437444282545,0.0011143913703749334,-0.10619381993349279,-0.36954121636596987,-0.21690400039207716,-0.03188665413445428,0.2943513322851379,-0.2723318215324836,-0.09690547492595819,-0.11551104737685437,0.602626301271672
sex,0.11323070590767026,0.45123542626002894,0.4649606659823534,-0.2421729730973946,0.1865002844913536,-0.2764459920564962,-0.0698842983103211,0.12425083199309775,-0.23592510670913924,0.05473953660050871,-0.5484401000279032,-0.040005713291021316
cp,0.2858078893309826,0.1460318453955153,-0.40663767073516355,-0.342554735949571,0.05500649952495369,0.26759867432933826,0.08757506552885751,-0.0021486826042444868,0.4404064726742062,-0.43438011197645715,-0.36964055048550615,0.09889762473547775
trestbps,0.1656082285761624,-0.380146490747737,0.3476300190597772,0.18269400261904173,0.07915394463488512,0.2720983133506026,-0.40417987279234885,0.4488427162599617,0.3564035874125805,0.027438256076986266,-0.12579292095762554,-0.2677922120976906
chol,0.0892753588099954,-0.4399475264896804,-0.22881357918194783,-0.203762178577964,0.3914817093947654,0.023795017044927882,-0.3862162230204583,-0.4138909673122466,-0.4072912985488525,-0.02320068353905016,-0.17925806166241443,-0.176319355766595
fbs,0.08261860236082623,-0.19291861888178058,0.5287081259467713,-0.16374943248521662,-0.15452050927164307,0.5449723814016101,0.4128115402011569,-0.33533950456309125,-0.1358189605475244,-0.07984055891838975,-0.05757424386907144,0.0030637328176251824
restecg,0.14944976057250103,-0.2697716180055901,0.07275126009846151,-0.020225513066215894,0.6556061989358442,-0.2774750959846326,0.5432918984574643,0.2250661727362126,0.08520111217256499,-0.07876319915210413,0.15762099608434804,0.017902791074472846
thalach,-0.39008485293146744,-0.04482669467950895,0.23300242893787387,-0.0283537641910952,0.2993422941153338,0.02510930166135497,-0.21107625335099572,-0.28265777461633057,0.3568766341072207,0.07680036759624771,-0.0009647349397548521,0.6344124976790722
exang,0.3343518510314074,0.2083258258320868,-0.1892639394526604,-0.13424743680054854,0.2089359071005586,0.4349851491103619,0.0004938435225079855,0.18542582985060246,-0.14132678128653592,0.6479866939740775,0.16116372749473143,0.2259118935286552
oldpeak,0.39633823118437894,0.056629065628298336,0.03118482522926977,0.41455678834445586,0.028246006956564672,-0.14535888284102577,-0.10033536880232984,-0.3018289719718479,0.213994504132989,0.1841056978488319,-0.22975363360641213,0.13474809691437417
slope,0.3544277078151092,0.07675227825414238,-0.0037163182697947383,0.5807005687253011,0.032255119421384745,0.014297124119558621,0.13551912778229858,-0.24496229076583853,-0.10332196292256914,-0.15413447512804246,-0.017061891844479232,0.043722600835612496
ca,0.30438312100965464,-0.15097969341862336,0.09870893500664901,-0.39627673238099503,-0.2560921273461151,-0.38097577431737767,0.04566958567484264,-0.3087743377688934,0.38562463781085576,0.3443339401305129,0.17148995880659218,-0.20625390696216017
thal,0.3467388429064412,0.27220122742816527,0.24410674025575077,-0.16025063001297407,0.1083071421565982,-0.003389257775478771,-0.36504037995076677,-0.03625638000035149,-0.07135471315451437,-0.42784843767340847,0.603869779340443,0.07876847620777307
