component,explained_variance,cumulative_variance
1,0.23668956528475096,0.23668956528475096
2,0.12299426418404277,0.35968382946879374
3,0.09541983510626124,0.45510366457505497
4,0.08457843627252692,0.5396821008475818
5,0.0758510294364956,0.6155331302840774
6,0.06773470234681739,0.6832678326308947
7,0.06620698894049953,0.7494748215713942
8,0.05977316766819345,0.8092479892395876
9,0.052954116777266115,0.8622021060168538
10,0.043397310994748285,0.9055994170116021
11,0.035320780416538154,0.9409201974281403
12,0.03165649421384939,0.9725766916419897
13,0.02742330835801012,0.9999999999999998
